,INSTITUTION_NAME_ENCODED,GROUPBY_ENCODED,PROGRAM_AREA_ENCODED,PROGRAM_AREA_NAME_ENCODED,CREDENTIAL_ENCODED,RESPONDENTS,RESPONSE_RATE,AGE,FEMALE,MALE,Education_Satisfaction,Write_Clearly,Speak_Effectively,Work_Effectively,Critical_Thinking,Resolve_Issues,Self_Learning,Comprehension,Quality_Instruction,SELF_EMPLOYED,EMPLOY_FULL_TIME,JOB_PROGRAM_RELATED,USEFUL_PERFORM_JOB,IN_LABR_MKT,EMPLOYED,UNEMPLOYED,SALARY_WAGE,FURTH_STUDIES
24,6,2,8,9,1,18.0,0.4736,22.0,,0.31015000000000004,0.9444,0.7272,0.9166,1.0,1.0,1.0,0.8823,0.9411,0.9411,0.0,1.0,0.6666,0.7272,1.0,0.6666,0.0,26.46,0.2222
25,6,2,10,11,1,39.0,0.5571,35.0,0.66135,,0.9743,0.8529,0.7857,0.8648,0.9736,0.923,0.9722,1.0,1.0,0.0,0.3823,0.9714,0.9714,1.0,0.7177,0.0,27.125,0.2105
26,6,2,11,20,1,17.0,0.68,22.0,0.66135,,0.9411,0.8461,0.8571,0.7647,0.9411,0.7647,1.0,0.875,0.9411,0.0,0.3299999999999999,0.7142,0.875,0.7332500000000001,0.5294,0.0,17.95,0.647
27,11,2,10,11,1,59.0,0.5221,25.0,0.8983,0.1016,0.931,0.9074,0.7222,0.8035,0.8305,0.8947,0.8928,0.9322,0.9661,0.0,0.6666,0.8163,0.875,0.9152,0.8305,0.0925,21.17,0.2413
28,11,2,11,20,1,13.0,0.4814,19.0,0.66135,,1.0,0.6923,0.923,0.923,0.923,1.0,0.923,1.0,1.0,0.0,0.3299999999999999,0.3333,0.6666,0.8333,0.5086,0.0,-99.0,0.7692
29,14,2,6,4,1,11.0,0.4782,28.0,0.5454,0.4545,0.909,0.909,0.8181,0.6247500000000001,1.0,0.7,0.909,0.909,0.909,0.0,0.6666,0.3333,0.8,1.0,0.7177,0.0,15.93,0.1818
30,14,2,6,4,1,64.0,0.6464,35.0,0.66135,,0.9687,0.9056,0.8222,0.7058,0.9,0.8793,0.9682,0.9516,0.9843,0.0,0.7647,0.7777,0.8888,0.9838,0.873,0.0983,21.5,0.2812
31,14,2,7,10,1,143.0,0.55,32.0,0.7957,0.2042,0.9503,0.8666,0.9179,0.9436,0.972,0.9647,0.95,0.9642,0.9574,0.0,0.8376,0.9312,0.9844,0.9574,0.9295,0.0005960000000000001,25.33,0.2605
32,14,2,7,10,1,21.0,0.75,29.0,1.0,0.0,0.75275,0.54125,0.647,0.6247500000000001,0.75905,0.635875,0.7230750000000001,0.7619,0.8015249999999999,0.0,0.625,0.8,0.85,1.0,1.0,0.0,23.98,0.238
33,14,2,10,11,1,45.0,0.6521,34.0,0.8,0.2,0.9333,0.9268,0.9534,0.9512,0.9534,0.9523,0.9512,0.9756,0.9777,0.0,0.6,0.8918,0.921,0.909,0.8444,0.0,24.5,0.2222
34,14,2,10,11,1,48.0,0.6,28.0,0.66135,,0.9791,0.8048,0.8695,0.9787,0.9361,0.9361,0.8913,0.9555,0.9583,0.0,0.7179,0.9534,0.9772,0.9777,0.7177,0.0,20.0,0.2916
35,14,2,10,11,1,11.0,0.647,22.0,0.66135,,0.75275,0.8181,0.7272,0.909,0.8181,0.8181,0.7230750000000001,0.8181,0.8181,0.0,0.3299999999999999,0.5,0.8333,0.7332500000000001,0.7177,0.0,18.18,0.3636
36,3,2,8,9,1,15.0,0.4838,29.0,,0.31015000000000004,0.8666,0.7857,0.5833,0.6666,1.0,1.0,0.8571,1.0,0.8571,0.0,0.6666,0.6923,0.6666,0.9333,0.7177,0.0,22.45,0.1333
